ID,VICTIMAS,FECHA,ANIO,MES,DIA,HORA,MEDIO,COMUNA,X,Y,PARTICIPANTES,ACUSADO,ROL,DAMNIFICADO,SEXO,EDAD,OBITO,SEMESTRE
2018-0043,1,2018-04-28,2018,4,28,06:30:00,AVENIDA,11,"-58,49","-34,61",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,25,1,1
2018-0044,1,2018-04-28,2018,4,28,09:00:00,AVENIDA,3,"-58,40","-34,62",PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,50,1,1
2018-0045,1,2018-04-30,2018,4,30,07:00:00,AVENIDA,13,"-58,45","-34,58",AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,60,1,1
2018-0046,1,2018-05-02,2018,5,2,03:15:00,AUTOPISTA,9,"-58,53","-34,64",PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,11,1,1
2018-0047,1,2018-05-08,2018,5,8,19:00:00,AVENIDA,15,"-58,45","-34,59",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,82,1,1
2018-0048,1,2018-05-09,2018,5,9,10:30:00,AVENIDA,7,"-58,46","-34,63",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,57,1,1
2018-0049,1,2018-05-11,2018,5,11,19:15:00,CALLE,13,"-58,46","-34,55",PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,40,1,1
2018-0050,1,2018-05-14,2018,5,14,18:45:00,AVENIDA,13,"-58,46","-34,56",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,47,1,1
2018-0051,1,2018-05-15,2018,5,15,21:15:00,CALLE,4,"-58,36","-34,64",PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,57,1,1
2018-0052,1,2018-05-18,2018,5,18,20:30:00,AVENIDA,15,"-58,50","-34,59",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,78,1,1
2018-0053,1,2018-05-20,2018,5,20,02:30:00,CALLE,3,"-58,41","-34,60",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,43,1,1
2018-0054,1,2018-05-22,2018,5,22,11:15:00,CALLE,12,"-58,48","-34,57",PEATON-BICICLETA,BICICLETA,PEATON,PEATON,FEMENINO,86,1,1
2018-0055,1,2018-05-29,2018,5,29,07:30:00,AVENIDA,3,"-58,40","-34,62",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,21,1,1
2018-0056,1,2018-06-02,2018,6,2,13:00:00,AVENIDA,9,"-58,52","-34,64",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,69,1,1
2018-0057,1,2018-06-03,2018,6,3,03:30:00,CALLE,3,"-58,39","-34,62",MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,33,1,1
2018-0058,1,2018-06-03,2018,6,3,06:30:00,AVENIDA,15,"-58,44","-34,59",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,26,1,1
2018-0059,1,2018-06-08,2018,6,8,06:20:00,AVENIDA,5,"-58,41","-34,63",MOTO-MOVIL,OTRO,CONDUCTOR,MOTO,MASCULINO,54,1,1
2018-0060,1,2018-06-08,2018,6,8,12:50:00,AVENIDA,1,"-58,37","-34,60",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,51,1,1
2018-0061,1,2018-06-10,2018,6,10,11:15:00,CALLE,3,"-58,40","-34,62",MOTO-MOTO,MOTO,CONDUCTOR,MOTO,MASCULINO,51,1,1
2018-0062,1,2018-06-14,2018,6,14,01:00:00,CALLE,6,"-58,44","-34,62",PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,32,1,1
2018-0063,1,2018-06-16,2018,6,16,21:15:00,AVENIDA,1,"-58,37","-34,60",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,28,1,1
2018-0064,1,2018-06-25,2018,6,25,01:15:00,AVENIDA,7,"-58,46","-34,64",AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,30,1,1
2018-0065,1,2018-06-26,2018,6,26,17:30:00,CALLE,1,"-58,38","-34,59",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,35,1,1
2018-0066,1,2018-06-28,2018,6,28,11:00:00,AVENIDA,15,"-58,46","-34,59",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,73,1,1
2018-0067,1,2018-06-29,2018,6,29,16:15:00,AVENIDA,4,"-58,38","-34,63",PASAJEROS-AUTO,AUTO,PASAJERO,PASAJEROS,FEMENINO,81,1,1
2018-0068,1,2018-07-01,2018,7,1,09:00:00,AVENIDA,7,"-58,46","-34,63",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,21,1,2
2018-0069,1,2018-07-04,2018,7,4,21:45:00,AVENIDA,2,"-58,40","-34,60",BICICLETA-PASAJEROS,PASAJEROS,CICLISTA,BICICLETA,MASCULINO,20,1,2
2018-0070,1,2018-07-07,2018,7,7,15:45:00,CALLE,3,"-58,41","-34,62",MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,33,1,2
2018-0071,1,2018-07-10,2018,7,10,17:50:00,AVENIDA,1,"-58,37","-34,61",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,0,1,2
2018-0072,1,2018-07-11,2018,7,11,13:15:00,AUTOPISTA,8,"-58,48","-34,68",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,27,1,2
2018-0073,1,2018-07-11,2018,7,11,15:45:00,AVENIDA,4,"-58,40","-34,65",PEATON-CARGAS,CARGAS,PEATON,PEATON,FEMENINO,67,1,2
2018-0074,1,2018-07-14,2018,7,14,06:04:00,AVENIDA,7,"-58,47","-34,63",AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,25,1,2
2018-0075,1,2018-07-15,2018,7,15,07:30:00,AVENIDA,14,"-58,40","-34,58",PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,23,1,2
2018-0076,1,2018-07-16,2018,7,16,09:30:00,CALLE,9,"-58,53","-34,65",AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,73,1,2
2018-0077,1,2018-07-16,2018,7,16,23:15:00,CALLE,3,"-58,41","-34,62",AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,58,1,2
2018-0078,1,2018-07-21,2018,7,21,06:15:00,CALLE,2,"-58,41","-34,59",PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,27,1,2
2018-0079,1,2018-07-23,2018,7,23,07:15:00,AUTOPISTA,9,"-58,51","-34,67",PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,0,1,2
2018-0080,1,2018-07-25,2018,7,25,22:22:00,AVENIDA,9,"-58,51","-34,66",PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,26,1,2
2018-0081,1,2018-07-29,2018,7,29,06:30:00,AVENIDA,7,"-58,45","-34,65",MULTIPLE,MULTIPLE,PEATON,PEATON,MASCULINO,35,1,2
2018-0082,1,2018-08-01,2018,8,1,15:53:00,AVENIDA,9,"-58,49","-34,66",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,FEMENINO,17,1,2
2018-0083,1,2018-08-02,2018,8,2,05:20:00,AUTOPISTA,8,"-58,48","-34,69",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,0,1,2
2018-0084,1,2018-08-03,2018,8,3,07:25:00,AVENIDA,1,"-58,37","-34,62",PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,45,1,2
2018-0085,2,2018-08-03,2018,8,3,18:16:00,AVENIDA,3,"-58,39","-34,63",MOTO-PASAJEROS,PASAJEROS,PASAJERO,MOTO,FEMENINO,22,1,2
2018-0085,2,2018-08-03,2018,8,3,18:16:00,AVENIDA,3,"-58,39","-34,63",MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,30,1,2
2018-0086,1,2018-08-10,2018,8,10,21:44:00,AVENIDA,9,"-58,49","-34,65",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,40,1,2
2018-0087,1,2018-08-15,2018,8,15,19:20:00,AVENIDA,5,"-58,42","-34,63",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,75,1,2
2018-0088,1,2018-08-17,2018,8,17,16:36:00,AUTOPISTA,12,"-58,50","-34,55",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,0,1,2
2018-0089,1,2018-08-17,2018,8,17,17:56:00,AVENIDA,4,"-58,40","-34,63",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,80,1,2
2018-0090,1,2018-08-18,2018,8,18,10:34:00,AVENIDA,8,"-58,43","-34,67",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,27,1,2
2018-0091,1,2018-08-19,2018,8,19,18:47:00,AUTOPISTA,9,"-58,52","-34,64",AUTO-AUTO,AUTO,PASAJERO,AUTO,FEMENINO,23,1,2
2018-0092,1,2018-08-20,2018,8,20,08:20:00,AVENIDA,14,"-58,42","-34,60",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,23,1,2
2018-0093,1,2018-08-20,2018,8,20,08:41:00,CALLE,1,"-58,39","-34,63",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,24,1,2
2018-0094,1,2018-08-23,2018,8,23,05:35:00,CALLE,14,"-58,41","-34,59",MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,32,1,2
2018-0095,1,2018-08-26,2018,8,26,00:59:00,AVENIDA,9,"-58,47","-34,65",AUTO-AUTO,AUTO,PASAJERO,AUTO,FEMENINO,49,1,2
2018-0096,1,2018-08-31,2018,8,31,22:20:00,AUTOPISTA,8,"-58,44","-34,67",PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,39,1,2
2018-0097,1,2018-09-02,2018,9,2,10:50:00,AVENIDA,8,"-58,43","-34,66",AUTO-MOVIL,OTRO,CONDUCTOR,AUTO,FEMENINO,35,1,2
2018-0098,2,2018-09-09,2018,9,9,05:00:00,AUTOPISTA,8,"-58,47","-34,70",AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,55,1,2
2018-0098,2,2018-09-09,2018,9,9,05:00:00,AUTOPISTA,8,"-58,47","-34,70",AUTO-AUTO,AUTO,PASAJERO,AUTO,MASCULINO,54,1,2
2018-0099,1,2018-09-12,2018,9,12,14:25:00,AVENIDA,7,"-58,46","-34,63",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,18,1,2
2018-0100,1,2018-09-20,2018,9,20,10:30:00,AVENIDA,1,"-58,36","-34,62",MOTO-AUTO,AUTO,DESCONOCIDO,MOTO,FEMENINO,33,1,2
2018-0101,1,2018-09-21,2018,9,21,00:15:00,AUTOPISTA,12,"-58,48","-34,54",MULTIPLE,MULTIPLE,CONDUCTOR,AUTO,MASCULINO,0,1,2
2018-0102,1,2018-09-21,2018,9,21,00:30:00,CALLE,4,"-58,41","-34,65",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,20,1,2
2018-0103,1,2018-09-27,2018,9,27,17:51:00,AVENIDA,7,"-58,45","-34,64",PEATON-MOTO,MOTO,PEATON,PEATON,MASCULINO,1,1,2
2018-0104,1,2018-10-01,2018,10,1,08:58:00,AUTOPISTA,4,"-58,38","-34,64",MOTO-MOTO,MOTO,CONDUCTOR,MOTO,MASCULINO,22,1,2
2018-0105,1,2018-10-03,2018,10,3,18:12:00,AVENIDA,7,"-58,47","-34,63",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,56,1,2
2018-0106,1,2018-10-04,2018,10,4,22:02:00,AVENIDA,13,"-58,44","-34,55",MOTO-MOTO,MOTO,CONDUCTOR,MOTO,MASCULINO,27,1,2
2018-0107,1,2018-10-06,2018,10,6,14:20:00,AVENIDA,3,"-58,41","-34,61",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,62,1,2
2018-0108,1,2018-10-09,2018,10,9,14:00:00,AVENIDA,1,"-58,36","-34,60",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,37,1,2
2018-0109,1,2018-10-10,2018,10,10,22:12:00,AVENIDA,1,"-58,37","-34,60",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,34,1,2
2018-0110,1,2018-10-13,2018,10,13,03:05:00,AVENIDA,15,"-58,43","-34,60",PEATON-MOTO,MOTO,PEATON,PEATON,MASCULINO,60,1,2
2018-0111,1,2018-10-19,2018,10,19,12:13:00,AUTOPISTA,9,"-58,47","-34,65",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,28,1,2
2018-0112,1,2018-10-24,2018,10,24,09:18:00,CALLE,15,"-58,45","-34,60",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,FEMENINO,28,1,2
2018-0113,1,2018-10-25,2018,10,25,11:00:00,CALLE,11,"-58,47","-34,61",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,20,1,2
2018-0114,1,2018-10-30,2018,10,30,02:15:00,AVENIDA,1,"-58,39","-34,62",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,23,1,2
